DeAgostini,落語百選ＤＶＤコレクション,江戸時代から明治時代にかけて創作された古典落語をマガジンで解説し、DVDで演目そのものを見ることができるまったく新しい落語マガジンシリーズです。DVDには、このシリーズのためだけに演じられた実力派真打
DeAgostini,そーなんだ！3訂版,「週刊 そーなんだ！」シリーズは、ふだんの生活の中でいだく素朴な疑問(なぜ？)を 取り上げ、マンガやイラストをたくさん使いながら分かりやすく解き明かしていきます。 思わず「そーなんだ！」と納得してしま
DeAgostini,そーなんだ！社会編 改訂版,「首相と大統領はどう違うの？」「日曜日はどうして休みなの？」といった、世の中の仕組みに関する素朴な疑問を、マンガとコラムで丁寧に分かり易く解き明かします。毎号、6つの章の中から5つずつ取り上げます。さ
DeAgostini,スターゲイト DVDコレクション,「隔週刊 スターゲイト DVDコレクション」は、「スターゲイト・SG-1」の 10シリーズ（全214話）と、スピンオフシリーズである「スターゲイト アトランティス」の3シリーズ（全60話）を毎号3話ず
DeAgostini,フェラーリグランツーリズモ,"毎号付属するパーツを組み立てることで、「エンツォ・フェラーリ」の1/10スケールのダイキャストモデル（全長:470mm、重量:4.9kg）が完成します。「エンツォ・フェラーリ」はフェラーリ社 
創始者"
DeAgostini,仮面ライダーオフィシャルデータファイル,1971年にテレビ放映を開始した、第1作「仮面ライダー」をはじめとする所謂「昭和ライダー」から、「仮面ライダークウガ」からスタートし現在も放送が続いている「平成ライダー」まで、テレビ版・劇場版を問わず
DeAgostini,クール・ジャズ・コレクション,ジャズを聴く気分 それは楽しいとき リラックスしたいとき 落ち込んだとき スペシャルなと… どんなシーンにもスッと溶け込んでくれる それが JAZZ 初めて聴いた曲なのに懐かしい 何回も聴いたのに新し
DeAgostini,世界名作劇場DVDセレクション,昭和50年から22年間にわたって放送され、多くのファンから愛され続けたアニメ「世界名作劇場」。その中でも特に人気の3作品『フランダースの犬』、『母をたずねて三千里』、『あらいぐまラスカル』が隔週刊の「
DeAgostini,科学忍者隊ガッチャマンDVDコレクション,"昭和47年に大人気を博したTVアニメ「科学忍者隊 
ガッチャマン」のシリーズ3部作・全205話を毎号3話ずつ収録したDVDと、読み応えたっぷりのマガジンがセットになったシリーズです。リアルなメカデザイ"
DeAgostini,パティシェと作るケーキアンドデザート,国内外で活躍する有名パティシエ約50名のケーキ＆デザートのオリジナルレシピを取り上げ、一流パティシエたちのとっておきのテクニックが習得できるマガジンです。レシピ以外にも様々な情報を網羅し、お菓子作り初
DeAgostini,マイ・ミュージック・スタジオ,読み込んでいます...
DeAgostini,歴史のミステリー,誰もが知っている史実から、いまだに解明されていない謎に満ちた出来事まで、歴史に潜む数々の謎を取り上げ、これまで通説とされてきた歴史認識を再検証し、歴史の真相を読み解くマガジンシリーズ。全号揃えると歴史
DeAgostini,地球の鉱物 コレクション,『隔週刊地球の鉱物コレクション』には、世界中の様々な自然の鉱物・鉱石が毎号付いてきます。 創刊号は、紫水晶とも呼ばれ、2月の誕生石としても知られる「アメシスト」。シリーズでは、鉱物コレクターを魅了する
DeAgostini,ハーレーダビッドソン,世界中に熱狂的なファンを抱えるハーレーダビッドソン。ウィスコンシン州ミルウォーキーで産声をあげた小さな工場から、世界的な巨大メーカーへと成長した同社の歩みは、そのままアメリカのバイク史にも重なります。
DeAgostini,刑事コロンボDVDコレクション,"1968年の初登場から約10年にわたってヒットした『刑事コロンボ』。その独特のキャラクターと斬新なストーリー展開は、今なお世界中で愛されています。『刑事コロンボ 
DVD 
コレクション』は、シリーズ"
DeAgostini,昭和タイムズ,昭和――それは、日本という国が、かつてない劇的な歴史を刻んだ日々であり、今を生きる私たちの、すべてにおける礎となった時代でもあります。戦争、復興、高度経済成長……それぞれの社会を彩った、64年間にわた
DeAgostini,マイディズニーランド,読み込んでいます...
DeAgostini,蒸気機関車Ｃ62を作る,付属のパーツを組みたてると、わが国の蒸気機関車の中でも絶大な人気を誇り、圧倒的なパワーと力感に満ちた独特のプロポーションを備えた旅客機関車「C62型2号機」のスケールモデルが完成します。完成サイズは1
DeAgostini,ハリーポッターチェスコレクション,本誌の付録で付いてくるチェスの駒は、映画「ハリー・ポッターと賢者の石」の１シーンで登場する魔法のチェスを再現。ハリーたちが使っていたのと同じチェス駒は、魔法で動いたり、大きな音を立てたり、映画のように
DeAgostini,ピーターラビットコレクション,「ピーターラビット」をはじめ、可愛いらしいキャラクターや魅力的なシーンが描かれたテーブルウェアを毎号付属します。テーブルウェアは、陶磁器の中でも高級感が溢れる色彩と滑らかな光沢を持った“ボーンチャイナ
DeAgostini,ファイティングエアクラフトDVDコレクション,鮮やかな3Dコンピューターグラフィックや大迫力の実写映像を駆使したDVDと、パイロット自らが語る、臨場感あふれるビジュアルマガジンで、ファンの記憶に永遠に残る“大空の戦士”たちの魅力を徹底解説します。
DeAgostini,ヨーロピアンパレス,毎号付属のパーツを組み上げると、中世ヨーロッパの邸宅を連想させる壮麗で豪華なドールハウスが完成します。サイズは、1/12スケール（高さ91cm×幅87cm×奥行42cm）にも及びます。デザインは、フラ
DeAgostini,古代文明ビジュアルファイル,「世界四大文明」をはじめ、世界各地に点在した40以上もの古代文明や王朝を、遺跡や伝説から多角的な視点でビジュアル豊かに、その真の姿をひもとくマガジンシリーズです。世界を8つの大陸に分類し、「ローマ帝国
DeAgostini,アーティストジャパン,『選び抜かれた日本絵画の巨匠60人。魅力あふれる豪華コレクション。』葛飾北斎、横山大観、尾形光琳、雪舟、東山魁夷、竹久夢ニ、東洲斎写楽等、毎号特製バインダーに綴じこんでいけば、絵画や版画を気軽に楽しめ
DeAgostini,しあわせ♪クッキング改訂版,作って食べて、心も体も健康になる服部流レシピを、毎号ご紹介していきます。料理の基本、栄養バランス、食材をおいしく使う効果的な方法まで、料理をしながら身に付く新家庭料理百科シリーズです。2003年に創刊
DeAgostini,ロボザック,"自分で組み立てる２足歩行ロボット「RZ-1」！『週刊 
ロボザック』では、驚きの運動性能をもつヒューマノイドロボットが簡単に制作できます！入門用アクションデータを使いこなしたら、好きな動作を自分でカス"
DeAgostini,ミレニアムＤＶＤコレクション,"1996年にアメリカFOXテレビで放映された猟期犯罪を扱ったサイコサスペンスドラマ。新たな世紀の到来に、漠然とした不安が世界を覆うなか、次々と発生する猟奇犯罪の数々。 
――事件の真相は、人間自身の心"
DeAgostini,ビーズアクセサリー,毎号2種類のビーズ・アクセサリーの材料、ツールのキットと、各アクセサリーの作り方を写真で分かりやすく解説するマガジンがセットとなっています。マガジンでは、ビーズやパーツなどアクセサリーキットの名前から
DeAgostini,フェラーリラジコンカー,F2004――それは、ドライバーとコンストラクターズの両部門で、ワールドチャンピオンに輝いた世界最高峰のF1マシン。その名門フェラーリのメモリアルモデルが、究極のRCカーでよみがります。本格的なメカニ
DeAgostini,24DVDコレクション,"Events occur in real time. ～リアルタイムで事件が進行中～ 
ストーリーの進行と現実社会の時間進行が同じ速度で進むという「24」は、斬新なリアルタイムアクションドラマとして世"
DeAgostini,ハローキティ・アクセサリーコレクション,"飾って、身につけて、いつもキティをあなたのそばに。ハローキティ・アクセサリーコレクションのシルバーチャームは、ブレスレット、ネックレス、ピアス、 
イアリング、ブローチ、携帯ストラップ……さまざまなア"
DeAgostini,スタートレック ベストエピソード コレクション,壮大なスケールの「スタートレック」シリーズから、独自のテーマで選んだ三作品をDVDに収録！ マガジンは、撮影秘話・俳優インタビュー・収録作品の解説などで「スタートレック」の世界に迫ります。 『スタート
DeAgostini,読み込んでいます...,本誌は「首相と大統領はどう違うの？」「日曜日はどうして休みなの？」といった、習慣化されてはいるけれど実は「なぜ(?)」だかはっきり分からない世の中の疑問を、毎号5つずつ取り上げ、マンガとコラムで丁寧に
DeAgostini,マイロボット,"『週刊 マイロボット』は、2003年に販売し、創刊号が19万部もの大ヒットを記録した『週刊 
リアルロボット』の好評を受け、さらに高性能・多機能の本格的なロボットを作りたいというロボットファンの声に応"
DeAgostini,青春のうた ベスト・コレクション,ギターを平和の象徴とした時代、若者の中から“生まれてきた”フォークソング。1960年代後半～80年代初頭は、自ら創り自ら歌うという新しいスタイルを確立したフォークソングが、多くの若者の心に絶大な影響を
DeAgostini,日本の100人,古代から現代に至るまで、日本の歴史を語る上で欠かすことのできない人物を時代やジャンルを問わず、100人取り上げ、その一人ひとりの生涯を振り返ることによって、日本という国の歩みをひもといていくビジュアル
DeAgostini,美空ひばりこころの歌,"日本人の心の中に、今も生きつづけている昭和の歌姫・美空ひばり。『隔週刊 
美空ひばりこころの歌』は、ひばりの誕生から晩年までの、豊富な写真と魅力的なエピソードを満載したマガジンと、ヒット歌謡から演歌、"
DeAgostini,ゴールデン・ポップス,CD付洋楽マガジンシリーズ。1950年～1970年代前半のアメリカのポップスを中心に、この年代流行した曲を当時の時代背景やヒットの裏話等と一緒に紹介。CDは世界メジャーレーベルオリジナル音源を使用。プ
DeAgostini,わが家で和食,伝統和食から現代風まで、食卓に「おいしい！」が並ぶ新感覚和食百科！今、和食は世代を問わず幅広く見直されています。それは、和食がヘルシーでありながら食材がもつ風味や力を大切に、毎日食べても決してあきるこ
DeAgostini,戦艦大和を作る,毎号付いてくるキットを組み立て、1/250スケール（全長105.2cm/全高28.9cm/全幅15.5cm）の精密な戦艦大和の模型を作るクラフトマガジンシリーズです。組み立ては、わかりやすいステップ・
DeAgostini,世界の昆虫データブック,日本をはじめとする世界の昆虫の生態や習性、体のつくり、さらには昆虫採集や標本づくりのテクニックなどを詳細なデータに加え、見やすい写真やイラストを使いながらわかりやすく紹介するマガジンと、体のしわや毛の
DeAgostini,泣いてたまるかDVDコレクション,昭和41年4月から全国で放映された、渥美清主演の一話完結式ドラマです。後に『男はつらいよ！』で大ブレイクする渥美清が「一生懸命、歯を食いしばって生きながらも報われない、不器用が故に割を食う男」を好演。
DeAgostini,Xファイル DVDコレクション,我々の住むこの世界には、常識では計り知れない、超常現象と呼ばれる、想像を超えた真実がある。その真実に迫る、1993年から2002年まで全米で放映された『Xファイル』は、実際に起こった事件や現象を背景に
DeAgostini,ディズニーのマジックイングリッシュ,みんながよく知っているディズニーのアニメーションを見ながら、その会話をくり返し聞くうちに、英語がわかるようになります。さあ、ディズニーの仲間たちと英語の世界へ遊びに行こう！ディズニーの魔法で英語が楽し
DeAgostini,インサイド・ヒューマンボディ改訂版,実際の医療現場で行われている先端の診断と医療法に迫る、ビジュアル医療マガジンです。また、人体のしくみ、人の生命、身近な病気、薬など現代医学にまつわるあらゆるデータを網羅。特製バインダーにファイリングす
DeAgostini,インサイド・ヒューマン・ボディ DVDコレクション,"信頼のあるDiscovery Health 
ChannelのプログラムをDVD化。本邦未公開映像も含まれます。手術シーンなど医療現場の生の映像を収めた貴重な映像資料です。"
DeAgostini,そーなんだ！改訂版,『週刊そーなんだ！』はみんなのいろいろな不思議（？）をそーなんだ（！）にかえる科学マガジンです。ナビゲーターのガリレオ博士をはじめ楽しいキャラクターがいっぱい登場して、みんなに分かりやすく解説！200
DeAgostini,和風ドールズハウス,毎号付いてくるパーツを組み立て、壮麗な4層3階建ての木造日本旅館のミニチュア（1/20スケール。高さ66cm×幅79cm×奥行39cm）と、情緒ある家具や調度品を手作りするクラフトマガジンです。古きよ
DeAgostini,ガンダム・ファクトファイル,"ファーストの放映開始から25周年、ガンダムシリーズの全てを網羅する初の完全ファイルマガジンがいよいよ発動！『週刊 
ガンダム・ファクトファイル』は、ガンダム全14シリーズの魅力をあらゆる角度から徹底詳"
