会社,題名,説明
DeAgostini,オーシャンアタック＆Co.ビッグ,"大人気「＆Co.ビッグ」シリーズ「オーシャンアタック＆Co.ビッグ」登場！ はらぺこハンターの食べた獲物をみつけよう！ 
「オーシャンアタック＆Co.（アンド・コ）ビッグ」の一番の魅力は、深海にひそむ“はらぺこハンター”の中に隠れた獲物をみつける、わくわく感！温度で色が変わったり、暗闇で光るなどのシリーズ従来のギミックに遊び心が加わった、ユニークな商品です。 光る、色が変わる、のび～るギミックの全15種ギミック付き！ “獲物”と“ギミック”を備えたフィギュア深海の生きものをモチーフとした腹ペコハンターのフィギュアは、全15種ギミック付き！ それぞれのフィギュアの中に隠れる“獲物”に加えて、暗闇で光る（8種）、温度で色が変わる（4種）、のび～る（3種）のギミックを兼ね備えています。"
DeAgostini,ストレッチーズ ミュータント,"のび～る！自由自在に形が変わる！新シリーズ「ストレッチーズ」誕生 
新シリーズ「ストレッチーズ」は、新素材を使用。これまで以上の伸張性と、自由に形を変形できる面白さを兼ね備えた、ユニークな玩具です。シリーズ第一弾はオリジナルキャラクターの「ミュータント」！全16種類の野獣と戦士が合体した超人“ミュータント”たちの戦いが、今ここにはじまります！ 超“のび～る”特長に加えて自由に形を変えられる新しいフィギュアはストレッチーズシリーズならではの新特長。 ロングパンチやロングキックはもちろん、ひねったりつぶしたり、好きな形に変えながらミュータントの戦いを楽しむことができます。 
付属のブックレットではミュータントたちの特徴はもちろん、ライバルキャラクターや戦力ポイントなど、まるでコミックのようなオリジナルストーリーを楽しむことができます。"
DeAgostini,恐竜＆Co.ビッグ,"レアキャラも登場する特大サイズ！全16種類の“のび～る”恐竜 
シリーズ発売以来、世界中の子どもたちを楽しませてきたアンドコシリーズ。なかでも前作の『シーモンスターズ＆Co.ビッグ』は、これまでにないビッグサイズが人気を集めました。そして、今回の第5弾は大人気のビックサイズにくわえ、子どもたちの大好きな“恐竜”がモチーフとなって登場します！ 
アンドコシリーズの特長のひとつである“のび～る”ギミックはもちろん、温度で色が変わったり（3種類）、暗闇で光る（2種類）恐竜も。また、めったにお目にかかれないレアキャラ（2種類）も加わり、全16種類をラインナップします フィギュアとブックレットのセットで、楽しく恐竜について学べます ●ブックレットでは、同梱された恐竜の体長や特長が詳しく解説されています。 ●フィギュアに触れながら体の特長を知り、ブックレットの解説を読むことで、楽しみながら恐竜について学ぶことできます。"
DeAgostini,ロビ2,"新時代のフレンドリーロボット「ロビ」が、新機能を搭載してパワーアップ！ ロビとあなたの新しい暮らしがはじまる！ 日本で一番売れた二足歩行のコミュニケーションロボット〈ロビ（Robi）〉。 新しいロビは、より進化したメカニズムによる新しいコミュニケーション機能を搭載。 
ロビとおしゃべりしたり、遊んだり、いつもサポートしてくれる楽しくて頼もしいなかま〈キューボ（Q-bo）〉も登場。新しい家族と、新しい暮らしがスタートします！"
DeAgostini,ロビ 第三版,"新時代のフレンドリーロボット「ロビ」を、自分の手で簡単に組み立てることができる！ 
スマートなデザインに加え、愛らしい“動き”と“会話”を通して心を和ませてくれる新時代のフレンドリーロボット「ロビ」。約200の言葉を理解し、日常での様々なシチュエーションで会話を楽しむことができる上に、ダンスや歌、タイマー、リモコンといった機能やアクティビティも搭載したこの未来型ロボットは、本誌付属のプラスドライバー1本で組み立てる事ができるので、初心者の方でも安心して組み立てられます。 ※本商品は2012年と2013年に刊行したシリーズの第3版です。"
DeAgostini,ガンダム・モビルスーツ・バイブル,1冊で1機のMSを極限にまで掘り下げたガンダムファン必携のマガジン！ 『機動戦士ガンダム』シリーズにおける戦場の主役であり、幾多の戦闘に投入されては峻烈な印象を残した人型兵器モビルスーツ(MS)。 作品の代名詞となる立場を確立したMSは兵器としての範疇を離脱し、単なるメカではない、魅力的なキャラクターとしての存在となった。 そんなMSの魅力を、豊富な資料と貴重なグラフィックで描き出すシリーズ。 それが、週刊『ガンダム・モビルスーツ・バイブル』である。 デザインや機能、武装や運用履歴、果てはパイロットに至るまで。 MSに特化し再構築された視点を通じて、『機動戦士ガンダム』シリーズを新たに体験してもらいたい。
DeAgostini,アイアンマン,"ダイキャスト製、全長60cm・52か所の関節と6か所のLED発光ギミック！ 
主人公であるトニー・スタークが開発した数十モデルのアイアンマンの中で、2008年公開の実写映画『アイアンマン』に登場し、現在にわたるマーベルブームの火付け役ともなったアイコニックな存在のマーク3。 その象徴的な金色と赤色の配色をはじめて施した「アイアンマン 
マーク3」の大迫力ビッグスケールフィギュア(全長60cm、重量3.6kg)を、トニー・スタークのようにあなたの手で組み立てられます。"
DeAgostini,ワイルド・スピード ダッジ・チャージャー R/T,"『ワイルド・スピード』で圧倒的な存在感を放つダッジ・チャージャーR/T。 《大迫力モデル》×《充実のマガジン》 究極の“ワイルド・スピード”体験！ 
第1作の公開から15年以上を経た『ワイルド・スピード』シリーズ。このシリーズの読者の皆様を、ドミニク“ファミリー”の一員に招待しよう。『ワイルド・スピード』の世界感を、車のテクニカル情報、逸話、レプリカ、印象的なシーンなどを通じて知れば、“ワイスピ”シリーズが人気たる所以が詳らかになる。ダッジ・チャージャーR/Tを1/8スケールで、ディテールにこだわり再現したこのモデルは、間違いなくモデラーと自動車ファンの夢の一台。これを組み立てれば“ワイスピ”の世界感にどっぷりつかれる。"
DeAgostini,サンダーバード秘密基地,"南太平洋に浮かぶ孤島の地下に築かれた秘密基地。 これは、サンダーバードメカの発進プロセスから格納庫の内部構造まで、徹底的に作りこむ“前代未聞”のシリーズだ！ 
創刊号には島内の基地に秘められたすべてのギミックを収録した特別編集DVDが付いてくる！島のシルエットはもちろん、岩肌の色や質感にも深いこだわり。島の地表に点在する施設は劇中のデザインを忠実に再現。原作の設定資料を参考に島の裏側も完全立体化！"
DeAgostini,ゴジラをつくる,"日本が誇る偉大なキャラクター「ゴジラ」。 
1954(昭和29)年の記念すべき映画「ゴジラ」の封切りから65年、ゴジラ映画は30作以上を数え、2019年には新たなハリウッド版ゴジラの公開があり、国と世代を超えてその人気は広がり続けている。 
週刊『ゴジラをつくる』では、それらすべてのゴジラの原点である「初代ゴジラ」のビッグスケール・リモートコントロールモデルを、毎号付属するパーツを使って組み立てていく。 1/87スケール＝全高約60cmの大型モデルは、自らの力で歩き、吠え、背ビレが発光する! さあ、これまでになかった大型リアル・ゴジラをあなたの手で体感しよう！！"
DeAgostini,日本刀,1000年を超える日本刀の美と歴史を完全網羅。 美と技の粋を味わい尽くす。 日本刀の魅力 そのすべてがわかる！ 美しさと強靱さを併せ持ち、高い精神性を宿す日本刀。 刀剣ブームのなか、その魅力を余すところなく伝える、画期的なビジュアル日本刀大図鑑が誕生しました。 国宝・重要文化財などの日本刀を原寸大で精緻印刷。特殊撮影で刃文もはっきりと浮かび上がらせる！ 刃文は通常、化粧研ぎに隠されて見えにくい。凄絶な美しさをもつ刃文を本書でじっくりと鑑賞しよう！
DeAgostini,YAMAHA YZR-M1 バレンティーノ・ロッシ モデル,バレンティーノ・ロッシの愛機“YAMAHA YZR-M1”をビッグスケールで組み立てる! ! 2004年のヤマハ移籍後、バレンティーノ・ロッシと共に記録と伝説をつくり続けてきたYAMAHA YZR-M1。 YZRがロッシを育て、ロッシがYZRを育て、お互いに高めあっては栄光を築き上げてきた。 本シリーズでは、2016年 MotoGPでランキング2位、優勝2回、表彰台10回という成績を収めたマシンを組み立てる。
DeAgostini,自衛隊DVDコレクション,"陸海空、全『自衛隊』真の姿！ その全貌をコレクション！ 
迫力のドキュメント映像を体感しながら、誌面の解説でその全貌を掘り下げる待望のDVD付きマガジンがついに登場！今では見られなくなった貴重なシーンから最新の演習風景まで、各自衛隊の映像記録をさまざまな切り口でパッケージ化。 マガジンでは、映像の見どころを解説するとともに、豊富な資料で自衛隊の素顔に迫ります！"
DeAgostini,神社百景 DVDコレクション 再刊行版,"日本全国の神社の中から選りすぐりの名社をマガジンの解説とともに、映像とナレーションでご紹介します。 古より、人々の信仰を集めてきた神の社。 人々を見守り、畏れ敬われてきた神々は、今も全国の社と人々の心に鎮まる。 『隔週刊 神社百景DVDコレクション』は、BSジャパンで放映された「神社百景 GRACE of 
JAPAN」から厳選した映像を全57巻にまとめてDVD化したシリーズです。 全国で崇敬される名社とそれを取り巻く自然、人々の信仰という日本の原風景を、その地を訪れ、参拝したかのような臨場感あふれる映像と誌面で紹介します。"
DeAgostini,クイーン・LPレコード・コレクション,"歴史の一部となった作品の数々… 
クイーンの音楽を全25号にまとめた独自のLPレコード・コレクション。2枚組、3枚組を含む、すべてのアルバムを180gの重量盤レコードとして再プレスした。毎号付いてくるマガジンでは、彼らの独占写真、秘蔵エピソード、メンバー自身の発言、アルバム制作秘話を掲載。 このシリーズには、最も影響力のあるロックバンドのひとつで、“史上最高のイギリスのバンド”と呼び声の高いクイーンの音楽がすべて詰まっている。 レコードプレーヤーにクイーンの作品を1枚のせれば、特別な時間が訪れるはずだ。ぜひ楽しんでほしい。"
DeAgostini,NISSAN GT-R NISMO,"世界が憧れる走りの頂点 NISSAN GT-R NISMO(MY17) ""NISSAN GT-R×NISMO 目指したのは究極のドライビングプレジャーの追求"" ― Pursuit of Ultimate Driving Pleasure ― 数々の栄光の歴史を刻んできたGT-R エンブレム。 そのGT-RにNISMOのレーシングテクノロジーが融合。 NISSAN GT-R NISMO(MY17)をビッグスケールで組み立てよう！"
DeAgostini,かわいい刺しゅう,"夢あふれる童話の刺しゅう絵と、雑貨小物を刺しながらさまざまなステッチに出会えるシリーズです。 『隔週刊 
かわいい刺しゅう』は、毎号キットとして、フランスの老舗刺しゅう糸メーカー『DMC』の刺しゅう糸をはじめ、必要な材料が付いた、刺しゅうのハンドメイドシリーズです。 童話モチーフのタペストリーと、雑貨小物を刺し進めながら、さまざまなステッチの技法に出会う、温かな時間を楽しんでください。"
DeAgostini,オーシャンアタック＆Co.ビッグ,"大人気「＆Co.ビッグ」シリーズ「オーシャンアタック＆Co.ビッグ」登場！ はらぺこハンターの食べた獲物をみつけよう！ 
「オーシャンアタック＆Co.（アンド・コ）ビッグ」の一番の魅力は、深海にひそむ“はらぺこハンター”の中に隠れた獲物をみつける、わくわく感！温度で色が変わったり、暗闇で光るなどのシリーズ従来のギミックに遊び心が加わった、ユニークな商品です。 光る、色が変わる、のび～るギミックの全15種ギミック付き！ “獲物”と“ギミック”を備えたフィギュア深海の生きものをモチーフとした腹ペコハンターのフィギュアは、全15種ギミック付き！ それぞれのフィギュアの中に隠れる“獲物”に加えて、暗闇で光る（8種）、温度で色が変わる（4種）、のび～る（3種）のギミックを兼ね備えています。"
DeAgostini,ストレッチーズ ミュータント,"のび～る！自由自在に形が変わる！新シリーズ「ストレッチーズ」誕生 
新シリーズ「ストレッチーズ」は、新素材を使用。これまで以上の伸張性と、自由に形を変形できる面白さを兼ね備えた、ユニークな玩具です。シリーズ第一弾はオリジナルキャラクターの「ミュータント」！全16種類の野獣と戦士が合体した超人“ミュータント”たちの戦いが、今ここにはじまります！ 超“のび～る”特長に加えて自由に形を変えられる新しいフィギュアはストレッチーズシリーズならではの新特長。 ロングパンチやロングキックはもちろん、ひねったりつぶしたり、好きな形に変えながらミュータントの戦いを楽しむことができます。 
付属のブックレットではミュータントたちの特徴はもちろん、ライバルキャラクターや戦力ポイントなど、まるでコミックのようなオリジナルストーリーを楽しむことができます。"
DeAgostini,恐竜＆Co.ビッグ,"レアキャラも登場する特大サイズ！全16種類の“のび～る”恐竜 
シリーズ発売以来、世界中の子どもたちを楽しませてきたアンドコシリーズ。なかでも前作の『シーモンスターズ＆Co.ビッグ』は、これまでにないビッグサイズが人気を集めました。そして、今回の第5弾は大人気のビックサイズにくわえ、子どもたちの大好きな“恐竜”がモチーフとなって登場します！ 
アンドコシリーズの特長のひとつである“のび～る”ギミックはもちろん、温度で色が変わったり（3種類）、暗闇で光る（2種類）恐竜も。また、めったにお目にかかれないレアキャラ（2種類）も加わり、全16種類をラインナップします フィギュアとブックレットのセットで、楽しく恐竜について学べます ●ブックレットでは、同梱された恐竜の体長や特長が詳しく解説されています。 ●フィギュアに触れながら体の特長を知り、ブックレットの解説を読むことで、楽しみながら恐竜について学ぶことできます。"
DeAgostini,ロビ2,"新時代のフレンドリーロボット「ロビ」が、新機能を搭載してパワーアップ！ ロビとあなたの新しい暮らしがはじまる！ 日本で一番売れた二足歩行のコミュニケーションロボット〈ロビ（Robi）〉。 新しいロビは、より進化したメカニズムによる新しいコミュニケーション機能を搭載。 
ロビとおしゃべりしたり、遊んだり、いつもサポートしてくれる楽しくて頼もしいなかま〈キューボ（Q-bo）〉も登場。新しい家族と、新しい暮らしがスタートします！"
DeAgostini,ロビ 第三版,"新時代のフレンドリーロボット「ロビ」を、自分の手で簡単に組み立てることができる！ 
スマートなデザインに加え、愛らしい“動き”と“会話”を通して心を和ませてくれる新時代のフレンドリーロボット「ロビ」。約200の言葉を理解し、日常での様々なシチュエーションで会話を楽しむことができる上に、ダンスや歌、タイマー、リモコンといった機能やアクティビティも搭載したこの未来型ロボットは、本誌付属のプラスドライバー1本で組み立てる事ができるので、初心者の方でも安心して組み立てられます。 ※本商品は2012年と2013年に刊行したシリーズの第3版です。"
DeAgostini,ガンダム・モビルスーツ・バイブル,1冊で1機のMSを極限にまで掘り下げたガンダムファン必携のマガジン！ 『機動戦士ガンダム』シリーズにおける戦場の主役であり、幾多の戦闘に投入されては峻烈な印象を残した人型兵器モビルスーツ(MS)。 作品の代名詞となる立場を確立したMSは兵器としての範疇を離脱し、単なるメカではない、魅力的なキャラクターとしての存在となった。 そんなMSの魅力を、豊富な資料と貴重なグラフィックで描き出すシリーズ。 それが、週刊『ガンダム・モビルスーツ・バイブル』である。 デザインや機能、武装や運用履歴、果てはパイロットに至るまで。 MSに特化し再構築された視点を通じて、『機動戦士ガンダム』シリーズを新たに体験してもらいたい。
DeAgostini,アイアンマン,"ダイキャスト製、全長60cm・52か所の関節と6か所のLED発光ギミック！ 
主人公であるトニー・スタークが開発した数十モデルのアイアンマンの中で、2008年公開の実写映画『アイアンマン』に登場し、現在にわたるマーベルブームの火付け役ともなったアイコニックな存在のマーク3。 その象徴的な金色と赤色の配色をはじめて施した「アイアンマン 
マーク3」の大迫力ビッグスケールフィギュア(全長60cm、重量3.6kg)を、トニー・スタークのようにあなたの手で組み立てられます。"
DeAgostini,ワイルド・スピード ダッジ・チャージャー R/T,"『ワイルド・スピード』で圧倒的な存在感を放つダッジ・チャージャーR/T。 《大迫力モデル》×《充実のマガジン》 究極の“ワイルド・スピード”体験！ 
第1作の公開から15年以上を経た『ワイルド・スピード』シリーズ。このシリーズの読者の皆様を、ドミニク“ファミリー”の一員に招待しよう。『ワイルド・スピード』の世界感を、車のテクニカル情報、逸話、レプリカ、印象的なシーンなどを通じて知れば、“ワイスピ”シリーズが人気たる所以が詳らかになる。ダッジ・チャージャーR/Tを1/8スケールで、ディテールにこだわり再現したこのモデルは、間違いなくモデラーと自動車ファンの夢の一台。これを組み立てれば“ワイスピ”の世界感にどっぷりつかれる。"
DeAgostini,サンダーバード秘密基地,"南太平洋に浮かぶ孤島の地下に築かれた秘密基地。 これは、サンダーバードメカの発進プロセスから格納庫の内部構造まで、徹底的に作りこむ“前代未聞”のシリーズだ！ 
創刊号には島内の基地に秘められたすべてのギミックを収録した特別編集DVDが付いてくる！島のシルエットはもちろん、岩肌の色や質感にも深いこだわり。島の地表に点在する施設は劇中のデザインを忠実に再現。原作の設定資料を参考に島の裏側も完全立体化！"
DeAgostini,ゴジラをつくる,"日本が誇る偉大なキャラクター「ゴジラ」。 
1954(昭和29)年の記念すべき映画「ゴジラ」の封切りから65年、ゴジラ映画は30作以上を数え、2019年には新たなハリウッド版ゴジラの公開があり、国と世代を超えてその人気は広がり続けている。 
週刊『ゴジラをつくる』では、それらすべてのゴジラの原点である「初代ゴジラ」のビッグスケール・リモートコントロールモデルを、毎号付属するパーツを使って組み立てていく。 1/87スケール＝全高約60cmの大型モデルは、自らの力で歩き、吠え、背ビレが発光する! さあ、これまでになかった大型リアル・ゴジラをあなたの手で体感しよう！！"
DeAgostini,日本刀,1000年を超える日本刀の美と歴史を完全網羅。 美と技の粋を味わい尽くす。 日本刀の魅力 そのすべてがわかる！ 美しさと強靱さを併せ持ち、高い精神性を宿す日本刀。 刀剣ブームのなか、その魅力を余すところなく伝える、画期的なビジュアル日本刀大図鑑が誕生しました。 国宝・重要文化財などの日本刀を原寸大で精緻印刷。特殊撮影で刃文もはっきりと浮かび上がらせる！ 刃文は通常、化粧研ぎに隠されて見えにくい。凄絶な美しさをもつ刃文を本書でじっくりと鑑賞しよう！
DeAgostini,YAMAHA YZR-M1 バレンティーノ・ロッシ モデル,バレンティーノ・ロッシの愛機“YAMAHA YZR-M1”をビッグスケールで組み立てる! ! 2004年のヤマハ移籍後、バレンティーノ・ロッシと共に記録と伝説をつくり続けてきたYAMAHA YZR-M1。 YZRがロッシを育て、ロッシがYZRを育て、お互いに高めあっては栄光を築き上げてきた。 本シリーズでは、2016年 MotoGPでランキング2位、優勝2回、表彰台10回という成績を収めたマシンを組み立てる。
DeAgostini,自衛隊DVDコレクション,"陸海空、全『自衛隊』真の姿！ その全貌をコレクション！ 
迫力のドキュメント映像を体感しながら、誌面の解説でその全貌を掘り下げる待望のDVD付きマガジンがついに登場！今では見られなくなった貴重なシーンから最新の演習風景まで、各自衛隊の映像記録をさまざまな切り口でパッケージ化。 マガジンでは、映像の見どころを解説するとともに、豊富な資料で自衛隊の素顔に迫ります！"
DeAgostini,神社百景 DVDコレクション 再刊行版,"日本全国の神社の中から選りすぐりの名社をマガジンの解説とともに、映像とナレーションでご紹介します。 古より、人々の信仰を集めてきた神の社。 人々を見守り、畏れ敬われてきた神々は、今も全国の社と人々の心に鎮まる。 『隔週刊 神社百景DVDコレクション』は、BSジャパンで放映された「神社百景 GRACE of 
JAPAN」から厳選した映像を全57巻にまとめてDVD化したシリーズです。 全国で崇敬される名社とそれを取り巻く自然、人々の信仰という日本の原風景を、その地を訪れ、参拝したかのような臨場感あふれる映像と誌面で紹介します。"
DeAgostini,クイーン・LPレコード・コレクション,"歴史の一部となった作品の数々… 
クイーンの音楽を全25号にまとめた独自のLPレコード・コレクション。2枚組、3枚組を含む、すべてのアルバムを180gの重量盤レコードとして再プレスした。毎号付いてくるマガジンでは、彼らの独占写真、秘蔵エピソード、メンバー自身の発言、アルバム制作秘話を掲載。 このシリーズには、最も影響力のあるロックバンドのひとつで、“史上最高のイギリスのバンド”と呼び声の高いクイーンの音楽がすべて詰まっている。 レコードプレーヤーにクイーンの作品を1枚のせれば、特別な時間が訪れるはずだ。ぜひ楽しんでほしい。"
DeAgostini,NISSAN GT-R NISMO,"世界が憧れる走りの頂点 NISSAN GT-R NISMO(MY17) ""NISSAN GT-R×NISMO 目指したのは究極のドライビングプレジャーの追求"" ― Pursuit of Ultimate Driving Pleasure ― 数々の栄光の歴史を刻んできたGT-R エンブレム。 そのGT-RにNISMOのレーシングテクノロジーが融合。 NISSAN GT-R NISMO(MY17)をビッグスケールで組み立てよう！"
DeAgostini,ジャガー・Eタイプ,時代を超えたイギリススポーツカーの最高峰「ジャガー・Eタイプ」。 本シリーズでは、精密につくられたモデルを組み立てるとともに、ジャガーの世界観を紹介していきます。 毎号提供されるのは、可動式ボンネット、ワーキングライト、可動式ドア、サスペンションなど、ディテールと素材にこだわった本格的かつ精密なパーツです。
DeAgostini,栄光の日本海軍 パーフェクトファイル,"世界初！彩色写真とCGでオールカラー化を実現！ 日本海軍パーフェクト大百科！！ 「週刊 
栄光の日本海軍パーフェクトファイル」は、日本海軍にまつわるあらゆる事実を、全編にわたるカラー彩色写真とCG画像により解説するビジュアルマガジン・シリーズです。 最新の学説・解釈も網羅しており、全号コレクションすることで、日本海軍の全貌を知ることができます。"
DeAgostini,鉄道 ザ・ラストラン,"今はもう見ることのできない 名列車、名車両たちのありし日の姿を マガジンとDVDでたどっていきます！寝台特急列車や新幹線、また電気機関車から気動車まで… そのラストランの貴重な記録をコレクション！ 最終日の上りと下り、それぞれの出発駅から 終着駅までの走りを中心としたお宝映像 
ラストラン映像に加えて、列車の特徴・紹介や最盛期に活躍する映像をプラス。写真では表現出来ない、映像でしかわからない味わい深いシーンの数々も収録。列車のヒストリーや列車編成など、詳しいデータと貴重な写真で記録するマガジン隔週刊「鉄道ザ・ラストラン」は惜しまれながらも引退した車両や、時代の役目を終えて定期運行から消え去った列車のラストランを収録したDVD付きマガジンシリーズです。"
DeAgostini,ニードルフェルトでねこあつめ,ニードルフェルトを楽しんで『ねこあつめ』しましょう！ 人気ゲーム『ねこあつめ』のねこたちが全員フェルトマスコットになりました。 眺めているだけで癒されるあのねこたちが、毎号付いてくる素材で、毎号ひとつずつ作れるクラフトマガジン。 一度はチャレンジしたかったニードルフェルトのテクニックも、自分だけのねこを手軽に楽しく作っているうちに、自然と身につきます。
DeAgostini,スター・ウォーズ R2-D2,"『スター・ウォーズ』の人気アストロメク・ドロイドをあなたの手で組み立てよう! 
映画そのままのR2-D2を精巧に再現したオリジナル組み立て式スケールモデルが登場。世界でもっとも有名なアストロメク・ドロイドにして忠実な相棒R2-D2が、組み立てられる模型になってあなたの手に。R2-D2と暮らせる時代が、ついにやってきた!"
DeAgostini,マツダ・コスモスポーツ,"あれから50年の歳月を経て－伝説のエンジンと共に、名車「マツダ・コスモスポーツ」が帰ってきた。 作動原理が分かる。実物の1/2スケールロータリーエンジンモデル付き! 週刊「マツダ・コスモスポーツ」では、10A 
型ロータリーエンジンの1/2スケルトンモデルも同時組立て。可動式なので実際に動かしてロータリーエンジンの構造を理解することができます。"
DeAgostini,ムーミンハウスをつくる,"誰もがあたたかく迎え入れられる、世界中でたったひとつの場所、ムーミンハウス。 
芸術家で小説家のトーベ・ヤンソンが生み出した『ムーミン』の世界から、時代を越えて親しまれるムーミンハウスが精巧な組み立て模型になりました！毎号付いてくるパーツを少しずつ組み立ててムーミンハウスを完成させましょう。チャーミングなキャラクターたちのフィギュアは全部で8体。 さぁ、ムーミンハウスの扉が今、あなたのために開かれます。"
DeAgostini,ザ・ビートルズ・LPレコード・コレクション,"音楽史に名を刻むあの名盤をもう一度。 180g重量盤LPで聴く 
ビートルズ・ファン必携のアルバム・コレクション。2枚組、3枚組アルバムを含む全23号のビートルズ名盤シリーズだ。本シリーズのために特別にプレスされた180gの重量盤レコードで、極上のサウンドと素晴らしい音楽に聴き入ってほしい。 
毎号付いてくるマガジンでは、彼らの音楽にまつわるストーリーやエピソードが明らかになる。1960年代にレコード・セールス世界一を記録した彼らの比類なき作品の数々は、世代を越え、時代を越え、音楽ファン、ソングライター、アーティスト、プロデューサーたちにインスピレーションを与え続けている。"
DeAgostini,籐でつくる小物とバッグ,自分でつくる籐のバッグと小物で、普段の暮らしをもっと素敵に、もっと豊かに。 天然素材の籐を使って、手づくりのかごバッグや小物をつくりましょう。 隔週刊『籐でつくる小物とバッグ』は、楽しみながら籐の作品を編んでいく、ハンドクラフトコースです。 一本の籐から少しずつ編み上がり、形になっていく様子はまるで魔法のよう。 そんな、わくわくする手づくりの時間を楽しんでください。
DeAgostini,日本の名峰 DVD付きマガジン,"個性豊かな日本各地の名峰を訪ね、山の魅力に迫る！ DVDには毎号、BS-TBS『日本の名峰 絶景探訪』から1話を再編集して収録。 
絶景はもちろん、その地で見る「朝日」にもこだわり、季節、天気、気温などの諸条件が奇跡的に満たされた時にしか見ることのできない貴重な“夜明け”の瞬間をお届けします。 
マガジンでは、実際に登ったコースを3Dマップや図表で視覚的に解説しながら、その山の成り立ちや地形に関する情報、歴史、文化などのほか、撮影秘話も紹介します。"
DeAgostini,バック・トゥ・ザ・フューチャー デロリアン,『バック・トゥ・ザ・フューチャー』で一躍名を馳せ、世界で最も有名となったタイムマシン、デロリアン。 斬新なメタルボディ、近未来的なガルウイングドア。 あのデロリアンが、8分の1ビッグスケールモデルで帰ってきた！ マガジンではモデルの組み立て方を解説。また、『バック・トゥ・ザ・フューチャー』の撮影秘話や舞台裏など、映画をより深く知るための情報が満載。
DeAgostini,F1マシンコレクション,"時代を駆け抜けたレジェンドマシンをその手に！ 待ちに待ったスケールモデルの傑作、1950年の発足以来F1史に燦然と輝く名車の数々が、チームの枠を超えてここに集結した。 
本シリーズの1/43スケール・ダイキャストモデルは、世界選手権の歴史を彩る屈指のF1マシンを細かいディテールまで精巧に再現。創成期から現在に至るまでのF1の傑作を、その目で、その手で、楽しめる。 毎号提供されるモデルをコレクションし、今までにないF1名車の殿堂を完成させよう。"
DeAgostini,おしえて！ おしゃべりガイコツ,"骨はからだを支えているんだボーン！ それにね…なんで骨はあるんだろう？ 
しゃべる人体模型、ホネッキーを完成させるシリーズです。骨や内臓を組み立てながら、人のからだのしくみがどうなっているのかが、楽しく親子で学べます。ていねいな説明がついているから組み立ては簡単！さぁ、ホネッキーを完成させよう。 またマガジンには、君のからだのなぜ？がわかるマンガや、生きもののふしぎなからだのしくみを紹介する楽しいイラストがいっぱいです。"
DeAgostini,日本の城 改訂版,"『日本の城 改訂版』大好評につき再刊行。日本の城を知り尽くす！ 
現存する天守から、櫓、門、わずかに残っている山城や砦まで、日本全国に残る数々の城を詳細に解説。当時の姿を再現した復元CGや内部の断面図、古絵図、現存していた頃の古写真など、貴重なビジュアルを多用しながら、あらゆる角度から城の魅力をつぶさに伝えます。"
DeAgostini,ジャズ・LPレコード・コレクション,"すべてのジャズ・アルバムの背景に、すばらしいストーリーがある。 
ミュージシャン同士の奇跡的な化学反応、クラブやバーでの記憶に残るセッション、そして時に訪れる悲劇的最期。パーソネルを紹介する「演奏者たち」をはじめ、アルバム誕生の秘話に迫る「今号のアルバム」や「レコーディング・ストーリー」をまとめた格調高いブックレットが毎回、レコードと共に楽しめる。 LPジャケットの中に収めて保管することで、レコードと共に取り出す喜びを実感しよう。"
DeAgostini,マイ3Dプリンター 再刊行版,"3Dプリンターの世界にようこそ！ 
工業デザイナーでなくても、アーティストでなくても、自分のイメージしたものを実際に作ることができたら！それを実現できるのが、3Dプリンターの世界です。たとえば、デスク周りの小物から、アーティスティックなオブジェ、お気に入りのフィギュア、複雑でメカニックなものまで、自分のイメージをカタチにすることができるのです。 必要なのは、イマジネーションと、モデリングソフトのノウハウ、そして、パーソナル3Dプリンター。「週刊 
マイ3Dプリンター再刊行版」でその一歩を踏み出しましょう！"
DeAgostini,傑作カンフー映画 ブルーレイ コレクション,"最強の""観るエナジー・ドリンク"" カンフー映画の原動力は""怒り""である。世にはびこる理不尽と不正義に対し、かつてヒーローやヒロインたちは湧き上がる ""怒り"" 
を胸に、拳ひとつで戦いを挑んだ。それは、デジタル技術の助けなど一切なしに、鍛え抜かれた技と肉体が美しく、そして激しく繰り広げ、映画に刻み込んだ死闘という名の痛快な大活劇にして、至高の芸術にして、人生哲学であった。 
ブルース・リーの連続キック、リュー・チャーフィーの鋼鉄の拳、ジェット・リーの無重力ファイト…。今ふたたび混迷の時代、ブルーレイで蘇る彼らの勇姿は、さらに鮮明に見る者の魂に触れ、無限の活力を与えて、血沸き肉踊らせてくれる。名作傑作目白押しのカンフー映画から厳選した作品を毎号１本ずつブルーレイに収録。ファン垂涎のビジュアル＆レア情報を満載したマガジンとセットでお届けするシリーズです。"
