会社,題名,説明
DeAgostini,アメリカンカー コレクション,古き良き憧れのアメ車がここに集結! ダイキャスト製ミニチュアコレクション 1960~1970年代を中心とした憧れのアメ車たち全80種を、1/43スケールでリアルに再現したダイキャスト製ミニチュアでコレクションすることができる、隔週刊『アメリカンカー コレクション』  毎号お届けするコレクションには、背景やスペックが描かれた専用ディスプレイケースが付属し、飾りながらコレクションすることができます。
DeAgostini,メタルヒーロー DVDコレクション,地球と人類のために戦う宇宙刑事の活動記録がついに登場!隔週刊『メタルヒーロー DVDコレクション』創刊 「メタルヒーローシリーズ」初期3作品をテレビ放映順に完全収録した、隔週刊『メタルヒーロー DVDコレクション』を販売。『宇宙刑事シリーズ』三部作を毎号3話ずつDVDで収録。マガジンでは作品概要から
DeAgostini,日本の名車コレクション,だれもが憧れた日本の名車たちが1/64スケールで蘇る　隔週刊『日本の名車コレクション』創刊1/64統一スケールのダイキャスト製モデルと、貴重な資料を満載したマガジンでお届けする、隔週刊『日本の名車コレクション』。 
DeAgostini,たのしい つまみ細工,必要な道具もセットで初心者でも日本の伝統工芸を楽しめる 隔週刊『たのしい つまみ細工』創刊　隔週刊『たのしい つまみ細工』は、小さな布をピンセットでつまみ、ボンドで貼るだけのシンプルな作業で、初心者の方でも伝統的な「つまみ細工」を用いて花草のブーケや小物作りを楽しむことができるシリーズ。
DeAgostini,ディズニー マジカル オーディオ えほん,目と耳でディズニーの名作をたのしむ、知育に最適なオーディオブック ディズニーの人気キャラクターのフィギュアを専用スピーカーに乗せると、プロの声優による朗読で、ディズニーの不朽の名作の物語を目と耳で楽しめます。 ■いつの時代も色あせないディズニーの名作絵本とかわいいフィギュアをコレクション ディズニーの不朽の名作物語の絵本とかわいいフィギュアがコレクションできるシリーズです。毎号絵本と登場するキャラクターのかわいいフィギュアをセットでお届け。全て集めると絵本の背表紙がつながります。キャラクターの形をした読み聞かせフィギュアを第2号についてくるマジカルスピーカーの上に置くと、プロの声優による絵本の朗読が始まります。隔週刊「ディズニー マジカル オーディオえほん」は、ディズニーの世界を目で読むだけでなく、耳で聞いて楽しめる絵本となっています。
DeAgostini,必殺シリーズDVDコレクション,ハードボイルド時代劇の金字塔「必殺シリーズ」と劇場版をDVDとマガジンで楽しむ 本シリーズは、「必殺仕掛人」から「必殺剣劇人」までの21シリーズに加えて、劇場版も収録。マガジンでは、毎号付いてくるDVDに収録された3話の解説のほか、裏稼業のヒーローたちの人間関係や各キャラクターの殺し技、時代背景など
DeAgostini,鉄道 ザ・プロジェクト,伝説となった鉄道プロジェクトに光を当てる 本シリーズでは、毎号鉄道にまつわるプロジェクトを取り上げ、当時の貴重な映像や再現ドラマ、関係者へのインタビューを収録したDVDと、プロジェクトをひも解く資料をマガジンで紹介していきます。  ■DVDでは知られざる開発秘話を貴重な映像と再現ドラマで紹介 毎号、一つのプロジェクトを取り上げ、組織を牽引した強烈なリーダーシップやアイディアを結集させた無名の鉄道人の熱き物語をひも解いていきます。DVDではそれぞれのプロジェクトを「リーダーシップ」「技術開発」「インフラ開拓」「名列車・名車両」などの切り口で紹介します。
DeAgostini,陸上自衛隊 90式戦車をつくる,圧倒的重量感を誇る第3世代国産戦車 週刊『陸上自衛隊 90式戦車をつくる』創刊  1990年に制式化された陸上自衛隊の3代目の国産戦車「90式戦車」が完成する、週刊『陸上自衛隊 90式戦車をつくる』を販売。綿密な実車取材により設計、部隊マークに至るまでディテールを忠実に再現した迫力の大型スケールモデルが楽しめるシリーズ。
DeAgostini,暴れん坊将軍 DVDコレクション,シーズン1・シーズン2をDVD付きマガジンに初完全収録 隔週刊『暴れん坊将軍DVDコレクション』創刊 大スター・松平健が演じる八代目将軍・徳川吉宗の凛々しくも爽やかな姿やホームドラマ的要素が人気を集めた国民的時代劇、『暴れん坊将軍』。本コレクションでは、特に人気が高い第1シーズン『吉宗評判記 暴れん坊将軍』と、第2シーズン『暴れん坊将軍Ⅱ』を完全収録。初めて完全収録されたシーズン1&2のエピソードを収録したDVDと、各話の裏話や吉宗にまつわる史実などを紹介するマガジンで、『暴れん坊将軍』シリーズの世界を堪能することができます。
DeAgostini,仮面ライダーDVDコレクション 平成編,仮面ライダー生誕50周年！平成を彩った『クウガ』から『ディケイド』までが集結！ 2021年4月に生誕50周年を迎えた「仮面ライダー」作品の中から、ミレニアムイヤーに復活を果たした平成ライダーの10作品をDVD付きマガジン化した、隔週刊『仮面ライダーDVDコレクション 平成編』。
