DeAgostini,週刊,マイロボット,"『週刊 マイロボット』は、2003年に販売し、創刊号が19万部もの大ヒットを記録した『週刊 
リアルロボット』の好評を受け、さらに高性能・多機能の本格的なロボットを作りたいというロボットファンの声に応"
DeAgostini,隔週刊,青春のうた ベスト・コレクション,ギターを平和の象徴とした時代、若者の中から“生まれてきた”フォークソング。1960年代後半～80年代初頭は、自ら創り自ら歌うという新しいスタイルを確立したフォークソングが、多くの若者の心に絶大な影響を
DeAgostini,週刊,日本の100人,古代から現代に至るまで、日本の歴史を語る上で欠かすことのできない人物を時代やジャンルを問わず、100人取り上げ、その一人ひとりの生涯を振り返ることによって、日本という国の歩みをひもといていくビジュアル
DeAgostini,隔週刊,美空ひばりこころの歌,"日本人の心の中に、今も生きつづけている昭和の歌姫・美空ひばり。『隔週刊 
美空ひばりこころの歌』は、ひばりの誕生から晩年までの、豊富な写真と魅力的なエピソードを満載したマガジンと、ヒット歌謡から演歌、"
DeAgostini,隔週刊,ゴールデン・ポップス,CD付洋楽マガジンシリーズ。1950年～1970年代前半のアメリカのポップスを中心に、この年代流行した曲を当時の時代背景やヒットの裏話等と一緒に紹介。CDは世界メジャーレーベルオリジナル音源を使用。プ
DeAgostini,週刊,わが家で和食,伝統和食から現代風まで、食卓に「おいしい！」が並ぶ新感覚和食百科！今、和食は世代を問わず幅広く見直されています。それは、和食がヘルシーでありながら食材がもつ風味や力を大切に、毎日食べても決してあきるこ
DeAgostini,週刊,戦艦大和を作る,毎号付いてくるキットを組み立て、1/250スケール（全長105.2cm/全高28.9cm/全幅15.5cm）の精密な戦艦大和の模型を作るクラフトマガジンシリーズです。組み立ては、わかりやすいステップ・
DeAgostini,隔週刊,世界の昆虫データブック,日本をはじめとする世界の昆虫の生態や習性、体のつくり、さらには昆虫採集や標本づくりのテクニックなどを詳細なデータに加え、見やすい写真やイラストを使いながらわかりやすく紹介するマガジンと、体のしわや毛の
DeAgostini,隔週刊,泣いてたまるかDVDコレクション,昭和41年4月から全国で放映された、渥美清主演の一話完結式ドラマです。後に『男はつらいよ！』で大ブレイクする渥美清が「一生懸命、歯を食いしばって生きながらも報われない、不器用が故に割を食う男」を好演。
DeAgostini,隔週刊,Xファイル DVDコレクション,我々の住むこの世界には、常識では計り知れない、超常現象と呼ばれる、想像を超えた真実がある。その真実に迫る、1993年から2002年まで全米で放映された『Xファイル』は、実際に起こった事件や現象を背景に
DeAgostini,隔週刊,ディズニーのマジックイングリッシュ,みんながよく知っているディズニーのアニメーションを見ながら、その会話をくり返し聞くうちに、英語がわかるようになります。さあ、ディズニーの仲間たちと英語の世界へ遊びに行こう！ディズニーの魔法で英語が楽し
DeAgostini,週刊,インサイド・ヒューマンボディ改訂版,実際の医療現場で行われている先端の診断と医療法に迫る、ビジュアル医療マガジンです。また、人体のしくみ、人の生命、身近な病気、薬など現代医学にまつわるあらゆるデータを網羅。特製バインダーにファイリングす
DeAgostini,隔週刊,インサイド・ヒューマン・ボディ DVDコレクション,"信頼のあるDiscovery Health 
ChannelのプログラムをDVD化。本邦未公開映像も含まれます。手術シーンなど医療現場の生の映像を収めた貴重な映像資料です。"
DeAgostini,週刊,そーなんだ！改訂版,『週刊そーなんだ！』はみんなのいろいろな不思議（？）をそーなんだ（！）にかえる科学マガジンです。ナビゲーターのガリレオ博士をはじめ楽しいキャラクターがいっぱい登場して、みんなに分かりやすく解説！200
DeAgostini,週刊,和風ドールズハウス,毎号付いてくるパーツを組み立て、壮麗な4層3階建ての木造日本旅館のミニチュア（1/20スケール。高さ66cm×幅79cm×奥行39cm）と、情緒ある家具や調度品を手作りするクラフトマガジンです。古きよ
DeAgostini,週刊,ガンダム・ファクトファイル,"ファーストの放映開始から25周年、ガンダムシリーズの全てを網羅する初の完全ファイルマガジンがいよいよ発動！『週刊 
ガンダム・ファクトファイル』は、ガンダム全14シリーズの魅力をあらゆる角度から徹底詳"
DeAgostini,隔週刊,世界遺産DVDコレクション,"地球と人類の壮大なロマンが体感できる！マガジンとDVDで楽しむ人類の遺産への旅――『隔週刊 
世界遺産DVDコレクション』は毎号、地域ごとに3つの世界遺産を映像と誌面で解説。本誌とセットになったDVD"
DeAgostini,隔週刊,チャンピオン･バイク･コレクション,世界最高峰の二輪レースMotoGP、鈴鹿やカタルニアなどのサーキットで数々のドラマを繰り広げたレーシングバイクをテーマにしたマガジンと、ファンの記憶に永遠に残るチャンピオン・レーシング・バイクを精密に
DeAgostini,隔週刊,水彩で描く,心にひびく絵を描くコツとポイントを画材の使い方、色の使いこなし、デッサンなど8つの章で分かりやすく解説。しかも毎号必要な画材が付録としてつきますので、すぐにレッスンを始められ、毎号そろえると画材コレク
DeAgostini,週刊,レッツ！ピーシーライフ,「同級生を探したい」「航空券を予約したい」「画像や音楽をダウンロードしたい」など、誰もがパソコンでやってみたかったことを難しいパソコン用語は使わず、楽しいイラストと写真を交えてわかりやすく徹底解説。初
DeAgostini,週刊,ラジコンCAR,毎号組み立てるとほかでは手に入らない大人気のチャンピオンマシン、スバル・インプレッサWRC2001の超高性能R/Cカーが完成します（1/10スケール）。組み立ては写真入りの詳細なステップ解説で、初心者
DeAgostini,週刊,アロマテラピー＆ナチュラルライフ,アロマオイルの使い方、セルフマッサージ、自然療法、ハーブのレシピ…。アロマテラピーと自然療法は心とからだにいい香りと自然の力であなたを癒します。初めての方も基礎からしっかり学んで、実践できるヒーリング
DeAgostini,週刊,鉄道 ＤＡＴＡ ＦＩＬＥ コレクション,迫力の走行シーンを乗せて出発進行！風のように駆け抜ける特急列車、ブロアー音をうならせる電気機関車、ドレーンを切って進む蒸気機関車…。鉄道の魅力を存分にお楽しみいただける貴重な映像が満載のDVDコレクシ
