Hachette,隔週刊,はじめての立体刺しゅう,"毎号少しずつモチーフをつくりながら立体刺しゅうを楽しく学びましょう。
付属の材料で毎号さまざまなモチーフをつくり、立体刺しゅうの技を覚えましょう。
作ったモチーフを組み合わせて、可愛いフレームを完成さ"
Hachette,週刊,週刊ディズニー ドールハウス,ディズニーの人気キャラクターたちが集まる夢のドールハウスがあなたのもとに！ 実寸の35%スケール ミッキーマウスをはじめとした時代を超えて愛されるキャラクターたちがひとつのドールハウスに大集合！夢のド
Hachette,週刊,陸上自衛隊74式戦車をつくる,"最後の輝きを放つ「74式戦車」、究極のスケールモデルが登場！
陸上自衛隊 74式戦車 JGSDF TYPE74 MAIN BATTLE TANK
全長:58.8cm 全幅:19.8cm 全高:標準姿勢"
Hachette,週刊,はじめてのレース編み,"ステップ・バイ・ステップでモチーフを編みながら、レース編みを楽しく学びましょう。
必要なレース糸が付いてきて詳しい編み方をマガジンで学べるので、気軽にレース編みが始められます。
繊細な透かし模様やスペ"
Hachette,週刊,ディズニー ゴールデン・ブックコレクション,"世界中の子どもたちから愛され続ける珠玉のディズニー絵本コレクションが登場！
子どもの読書を愛する心を育む名作ディズニー絵本シリーズ

「ゴールデン・ブック」は、1942年にアメリカで創刊された絵本シリ"
Hachette,隔週刊,歌舞伎特選DVDコレクション,"胸を躍らせる、あの歌舞伎の舞台が、あなたの手元に！
一部音声ガイド付き！わかりやすい解説を聞きながら舞台映像をご覧いただけます。※DVDに音声ガイドの付かない号もございます。日本が世界に誇る伝統芸能、"
Hachette,週刊,樹脂粘土でつくるミニチュアフード,"小さくてかわいい! 本物そっくりなミニチュアフードをつくりましょう。
樹脂粘土でスイーツやパンをつくって飾って、あなただけのブーランジェリー＆パティスリーを完成させましょう！

リアルな質感が表現でき"
Hachette,週刊,宇宙戦艦ヤマト,"
宇宙戦艦の代名詞――ヤマト 西暦2202年に改装された姿を設定に忠実に再現!!
『宇宙戦艦ヤマト2202 愛の戦士たち』に登場したヤマトを、
特徴的な形状をはじめ、各種武装をディテールに至るまで忠実"
Hachette,隔週刊,はじめてのレザークラフト,"専用の道具を集めて、使い方を学びながらレザークラフトを楽しみましょう。
レザークラフトを始めるために必要な道具がお手元に！
このコレクションでは、毎号付属する道具や材料を使って作品を完成させながら、レ"
Hachette,週刊,本物の貨幣コレクション,"時間とともに歴史的価値を増す、本物の紙幣と硬貨がコレクションで登場!
見て、触って、読んで学べる貨幣コレクション!
各国で実際に使用されていた
本物の紙幣や硬貨が、毎号ついてくる！
データファイルでは"
Hachette,隔週刊,ピーターラビット?キルト,"キルトカバーを完成させるうちに裁縫のスキルが上達します。
付属の材料でピーターラビットのキルトカバーをつくりながら、パッチワークやアップリケ、刺しゅうのテクニックを少しずつ学ぶことができます。わかりや"
Hachette,週刊,戦艦大和,"戦艦大和の最期―天一号作戦時の雄姿を再現！
最新考証をふんだんに取り入れ模型の限界に挑む精細な造形！
最新の3D化・モデリング技術で今までにない精密な再現が可能に！
初心者の方も無理なく始められます
"
Hachette,隔週刊,ディズニーツムツムのニット＆クロシェ," かわいい「ディズニーツムツム」を、自分で編んで集めよう！
ミッキーやミニーをはじめとするディズニーキャラクターたちがコロンとまあるくなって集合した「ツムツム」は、ディズニーストアのぬいぐるみやLIN"
Hachette,週刊,世界の貨幣コレクション,"
世界の国々で実際に使用されていた100ヵ国の本物の紙幣をラインナップ

世界5大陸・100カ国の知らざる文化と歴史がつまった、紙幣と貨幣のオリジナルコレクション！

    イギリス
    ボスニ"
