タイトル,タイトルURL1,画像URL
"
            
            
              
              バック・トゥ・ザ・フューチャー デロリアン
            
              
              2017年01月31日創刊
            
              
              2019年07月30日完結
            
            ",https://deagostini.jp/post/migrm-538,https://deagostini.jp/f/resources_news/archive/migrm_image_DEL_legend_item_img.jpg
"
            
            
              
              F1マシンコレクション
            
              
              2017年01月10日創刊
            
              
              2022年09月27日完結
            
            ",https://deagostini.jp/post/migrm-561,https://deagostini.jp/f/resources_news/archive/migrm_image_F1C_legend_item_img.jpg
"
            
            
              
              おしえて！ おしゃべりガイコツ
            
              
              2017年01月05日創刊
            
              
              2018年05月15日完結
            
            ",https://deagostini.jp/post/migrm-526,https://deagostini.jp/f/resources_news/archive/migrm_image_OGA_legend_item_img.jpg
"
            
            
              
              日本の城 改訂版
            
              
              2017年01月05日創刊
            
              
              2020年02月10日完結
            
            ",https://deagostini.jp/post/migrm-543,https://deagostini.jp/f/resources_news/archive/migrm_image_NS2_legend_item_img.jpg
"
            
            
              
              ジャズ・LPレコード・コレクション
            
              
              2016年09月27日創刊
            
              
              2019年12月17日完結
            
            ",https://deagostini.jp/post/migrm-540,https://deagostini.jp/f/resources_news/archive/migrm_image_JZR_legend_item_img.jpg
"
            
            
              
              マイ3Dプリンター 再刊行版
            
              
              2016年09月13日創刊
            
              
              2017年10月03日完結
            
            ",https://deagostini.jp/post/migrm-510,https://deagostini.jp/f/resources_news/archive/migrm_image_MT2_legend_item_img.jpg
"
            
            
              
              傑作カンフー映画 ブルーレイ コレクション
            
              
              2016年08月30日創刊
            
              
              2017年10月10日完結
            
            ",https://deagostini.jp/post/migrm-525,https://deagostini.jp/f/resources_news/archive/migrm_image_KFB_legend_item_img.jpg
"
            
            
              
              レ・グランディ・フェラーリ・コレクション 
            
              
              2016年08月30日創刊
            
              
              2018年12月04日完結
            
            ",https://deagostini.jp/post/migrm-532,https://deagostini.jp/f/resources_news/archive/migrm_image_FER_legend_item_img.jpg
"
            
            
              
              日本の神社大全
            
              
              2016年06月24日創刊
            
              
              2017年07月28日完結
            
            ",https://deagostini.jp/post/migrm-549,https://deagostini.jp/f/resources_news/archive/migrm_image_NJT_legend_item_img.jpg
"
            
            
              
              神社百景DVDコレクション
            
              
              2016年05月24日創刊
            
              
              2018年07月31日完結
            
            ",https://deagostini.jp/post/migrm-516,https://deagostini.jp/f/resources_news/archive/migrm_image_JID_legend_item_img.jpg
"
            
            
              
              円谷プロ特撮ドラマDVDコレクション
            
              
              2016年02月16日創刊
            
              
              2020年10月20日完結
            
            ",https://deagostini.jp/post/migrm-550,https://deagostini.jp/f/resources_news/archive/migrm_image_TBD_legend_item_img.jpg
"
            
            
              
              第二次世界大戦 傑作機コレクション
            
              
              2016年02月09日創刊
            
              
              2019年11月26日完結
            
            ",https://deagostini.jp/post/migrm-536,https://deagostini.jp/f/resources_news/archive/migrm_image_WW2_legend_item_img.jpg
"
            
            
              
              釣りバカ日誌 映画DVDコレクション
            
              
              2016年02月02日創刊
            
              
              2016年11月22日完結
            
            ",https://deagostini.jp/post/migrm-520,https://deagostini.jp/f/resources_news/archive/migrm_image_TUD_legend_item_img.jpg
"
            
            
              
              サンダーバード２号＆救助メカ
            
              
              2016年01月26日創刊
            
              
              2017年11月21日完結
            
            ",https://deagostini.jp/post/migrm-518,https://deagostini.jp/f/resources_news/archive/migrm_image_TBK_legend_item_img.jpg
"
            
            
              
              ディズニー・ドリーム・シアター
            
              
              2016年01月19日創刊
            
              
              2017年12月19日完結
            
            ",https://deagostini.jp/post/migrm-523,https://deagostini.jp/f/resources_news/archive/migrm_image_DDT_legend_item_img.jpg
"
            
            
              
              空から日本を見てみようDVDコレクション
            
              
              2016年01月12日創刊
            
              
              2019年10月29日完結
            
            ",https://deagostini.jp/post/migrm-541,https://deagostini.jp/f/resources_news/archive/migrm_image_SKD_legend_item_img.jpg
"
            
            
              
              スター・ウォーズ ミレニアム・ファルコン
            
              
              2016年01月05日創刊
            
              
              2017年12月05日完結
            
            ",https://deagostini.jp/post/migrm-522,https://deagostini.jp/f/resources_news/archive/migrm_image_MFL_legend_item_img.jpg
"
            
            
              
              昭和にっぽん 鉄道ジオラマ
            
              
              2015年09月15日創刊
            
              
              2017年08月15日完結
            
            ",https://deagostini.jp/post/migrm-524,https://deagostini.jp/f/resources_news/archive/migrm_image_SNT_legend_item_img.jpg
"
            
            
              
              リバティプリントでハンドメイド
            
              
              2015年09月01日創刊
            
              
              2018年09月11日完結
            
            ",https://deagostini.jp/post/migrm-511,https://deagostini.jp/f/resources_news/archive/migrm_image_LIB_legend_item_img.jpg
"
            
            
              
              必殺仕事人DVDコレクション
            
              
              2015年05月12日創刊
            
              
              2020年06月02日完結
            
            ",https://deagostini.jp/post/migrm-545,https://deagostini.jp/f/resources_news/archive/migrm_image_HSD_legend_item_img.jpg
"
            
            
              
              映画クレヨンしんちゃん DVDコレクション
            
              
              2015年02月17日創刊
            
              
              2015年11月24日完結
            
            ",https://deagostini.jp/post/migrm-490,https://deagostini.jp/f/resources_news/archive/migrm_image_CYS_legend_item_img.jpg
"
            
            
              
              スカイライダー・ドローン
            
              
              2015年02月03日創刊
            
              
              2018年05月31日完結
            
            ",https://deagostini.jp/post/migrm-513,https://deagostini.jp/f/resources_news/archive/migrm_image_SRD_legend_item_img.jpg
"
            
            
              
              蒸気機関車C57を作る
            
              
              2015年01月27日創刊
            
              
              2016年12月23日完結
            
            ",https://deagostini.jp/post/migrm-502,https://deagostini.jp/f/resources_news/archive/migrm_image_JKG_legend_item_img.jpg
"
            
            
              
              ジッポー コレクション 80th Anniversary
            
              
              2015年01月20日創刊
            
              
              2019年08月10日完結
            
            ",https://deagostini.jp/post/migrm-533,https://deagostini.jp/f/resources_news/archive/migrm_image_ZIP_legend_item_img.jpg
